Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 7340, 600, 19, 3340, FULL_HOUSE, 1, NORMAL
2222, 0, 106, 3, -4000, THREE_OF_A_KIND, 7, NORMAL
3333, 0, 532, 7, -4000, TWO_PAIR, 3, NORMAL
4444, 0, 278, 5, -4000, TWO_PAIR, 6, NORMAL
5555, 0, 49, 4, -4000, ONE_PAIR, 8, NORMAL
6666, 32, 522, 8, -3968, FULL_HOUSE, 4, NORMAL
7777, 0, 294, 5, -4000, STRAIGHT, 5, NORMAL
8888, 5648, 600, 25, 1648, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 532, 0, -3980, NULL, 3, NORMAL
2222, 20, 531, 0, -3980, NULL, 4, NORMAL
3333, 20, 529, 0, -3980, NULL, 7, NORMAL
4444, 0, 529, 0, -4000, NULL, 8, NORMAL
5555, 20, 533, 0, -3980, NULL, 2, NORMAL
6666, 0, 530, 0, -4000, NULL, 6, NORMAL
7777, 0, 531, 0, -4000, NULL, 5, NORMAL
8888, 9520, 533, 0, 5520, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
2222, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
3333, 32000, 54, 8, 28000, FLUSH, 1, NORMAL
4444, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
5555, 0, 2, 2, -4000, THREE_OF_A_KIND, 4, NORMAL
6666, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
7777, 0, 4, 4, -4000, STRAIGHT, 3, NORMAL
8888, 0, 54, 4, -4000, THREE_OF_A_KIND, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 6326, 600, 600, 2326, FULL_HOUSE, 2, NORMAL
2222, 23, 583, 583, -3977, STRAIGHT_FLUSH, 7, NORMAL
3333, 5513, 600, 600, 1513, FOUR_OF_A_KIND, 3, NORMAL
4444, 4303, 600, 600, 303, FOUR_OF_A_KIND, 5, NORMAL
5555, 4560, 600, 600, 560, STRAIGHT_FLUSH, 4, NORMAL
6666, 8690, 600, 600, 4690, FOUR_OF_A_KIND, 1, NORMAL
7777, 2565, 600, 600, -1435, FOUR_OF_A_KIND, 6, NORMAL
8888, 20, 506, 49, -3980, STRAIGHT, 8, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, THREE_OF_A_KIND, 7, NORMAL
2222, 0, 125, 12, -4000, FULL_HOUSE, 3, NORMAL
3333, 0, 2, 2, -4000, THREE_OF_A_KIND, 7, NORMAL
4444, 0, 3, 3, -4000, FULL_HOUSE, 6, NORMAL
5555, 32000, 254, 35, 28000, FULL_HOUSE, 1, NORMAL
6666, 0, 16, 3, -4000, THREE_OF_A_KIND, 4, NORMAL
7777, 0, 7, 4, -4000, ONE_PAIR, 5, NORMAL
