Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
2222, 0, 31, 16, -4000, STRAIGHT, 7, NORMAL
3333, 0, 5, 5, -4000, ONE_PAIR, 8, NORMAL
4444, 0, 33, 3, -4000, FULL_HOUSE, 6, NORMAL
5555, 0, 225, 5, -4000, FULL_HOUSE, 3, NORMAL
6666, 0, 134, 4, -4000, THREE_OF_A_KIND, 5, NORMAL
7777, 11040, 600, 6, 7040, STRAIGHT, 1, NORMAL
8888, 0, 135, 2, -4000, TWO_PAIR, 4, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
2222, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
3333, 20, 270, 0, -3980, NULL, 2, NORMAL
4444, 0, 4, 4, -4000, TWO_PAIR, 4, NORMAL
5555, 0, 133, 12, -4000, FULL_HOUSE, 3, NORMAL
6666, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
7777, 0, 2, 2, -4000, THREE_OF_A_KIND, 5, NORMAL
8888, 29560, 270, 8, 25560, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, THREE_OF_A_KIND, 6, NORMAL
2222, 0, 79, 6, -4000, TWO_PAIR, 2, NORMAL
3333, 0, 2, 2, -4000, THREE_OF_A_KIND, 6, NORMAL
4444, 0, 15, 7, -4000, FULL_HOUSE, 4, NORMAL
5555, 0, 2, 2, -4000, THREE_OF_A_KIND, 6, NORMAL
6666, 30740, 79, 9, 26740, FULL_HOUSE, 1, NORMAL
7777, 0, 3, 3, -4000, THREE_OF_A_KIND, 5, NORMAL
8888, 0, 71, 2, -4000, TWO_PAIR, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 11, 2, -4000, HIGH_CARD, 7, NORMAL
2222, 0, 127, 7, -4000, FULL_HOUSE, 4, NORMAL
3333, 0, 240, 0, -4000, NULL, 3, NORMAL
4444, 0, 36, 23, -4000, STRAIGHT, 5, NORMAL
5555, 24900, 340, 16, 20900, STRAIGHT, 1, NORMAL
6666, 0, 22, 7, -4000, FULL_HOUSE, 6, NORMAL
7777, 0, 5, 3, -4000, FLUSH, 8, NORMAL
8888, 0, 340, 7, -4000, THREE_OF_A_KIND, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 32000, 32, 11, 28000, THREE_OF_A_KIND, 1, NORMAL
2222, 0, 4, 2, -4000, THREE_OF_A_KIND, 4, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
5555, 0, 9, 9, -4000, THREE_OF_A_KIND, 3, NORMAL
6666, 0, 4, 2, -4000, TWO_PAIR, 4, NORMAL
